label,map@1,map@3,map@5
steak,0.01694915254237288,0.010357815442561204,0.010451977401129945
pizza,0.10638297872340426,0.06028368794326241,0.044893617021276595
spaghetti_bolognese,0.05,0.025,0.021166666666666667
sashimi,0.16666666666666666,0.07592592592592592,0.051388888888888894
takoyaki,0.06666666666666667,0.032407407407407406,0.025444444444444443
spring_rolls,0.06666666666666667,0.06481481481481481,0.05372222222222222
scallops,0.08333333333333333,0.05,0.03333333333333333
shrimp_and_grits,0.1016949152542373,0.054613935969868174,0.04158192090395481
spaghetti_carbonara,0.09090909090909091,0.04292929292929293,0.030984848484848483
risotto,0.016666666666666666,0.02222222222222222,0.015500000000000002
lasagna,0.01694915254237288,0.010357815442561204,0.007909604519774011
seaweed_salad,0.05,0.027777777777777776,0.021166666666666667
tiramisu,0.03333333333333333,0.03148148148148148,0.021888888888888892
sushi,0.06521739130434782,0.03864734299516908,0.033840579710144925
tacos,0.03389830508474576,0.0160075329566855,0.015536723163841809
waffles,0.08333333333333333,0.075,0.05816666666666667
donuts,0.12,0.05333333333333333,0.033600000000000005
french_onion_soup,0.07246376811594203,0.06280193236714976,0.050144927536231884
omelette,0.02,0.031111111111111107,0.024066666666666667
ravioli,0.06666666666666667,0.03425925925925925,0.024055555555555556
strawberry_shortcake,0.016666666666666666,0.01851851851851852,0.018444444444444444
tuna_tartare,0.1,0.06203703703703703,0.043388888888888894
red_velvet_cake,0.03333333333333333,0.025,0.025
packaged,0.5560538116591929,0.5229197807673144,0.5120478325859492
artwork,0.17333333333333334,0.10888888888888888,0.09613333333333333
landmark,0.5204460966542751,0.5007228418009086,0.4966976456009914
toys,0.15873015873015872,0.15873015873015872,0.14222222222222222
furniture,0.5511111111111111,0.52,0.5061333333333333
storefronts,0.3533834586466165,0.2857142857142857,0.2621804511278195
apparel,0.5138888888888888,0.4857253086419753,0.47299768518518515
cars,0.5941176470588235,0.5777777777777777,0.5605490196078432
meme,0.0,0.0,0.0
illustrations,0.0,0.0,0.0
dishes,0.0,0.0,0.0
